word,sentiment,lexicon,words_in_lexicon
annoyance,negative,AFINN,2477
annoyed,negative,AFINN,2477
annoying,negative,AFINN,2477
annoys,negative,AFINN,2477
antagonistic,negative,AFINN,2477
anti,negative,AFINN,2477
anticipation,positive,AFINN,2477
anxiety,negative,AFINN,2477
anxious,negative,AFINN,2477
apathetic,negative,AFINN,2477
apathy,negative,AFINN,2477
apeshit,negative,AFINN,2477
apocalyptic,negative,AFINN,2477
apologise,negative,AFINN,2477
apologised,negative,AFINN,2477
apologises,negative,AFINN,2477
apologising,negative,AFINN,2477
apologize,negative,AFINN,2477
apologized,negative,AFINN,2477
apologizes,negative,AFINN,2477
apologizing,negative,AFINN,2477
apology,negative,AFINN,2477
appalled,negative,AFINN,2477
appalling,negative,AFINN,2477
appease,positive,AFINN,2477
appeased,positive,AFINN,2477
appeases,positive,AFINN,2477
appeasing,positive,AFINN,2477
applaud,positive,AFINN,2477
applauded,positive,AFINN,2477
applauding,positive,AFINN,2477
applauds,positive,AFINN,2477
applause,positive,AFINN,2477
appreciate,positive,AFINN,2477
appreciated,positive,AFINN,2477
appreciates,positive,AFINN,2477
appreciating,positive,AFINN,2477
appreciation,positive,AFINN,2477
apprehensive,negative,AFINN,2477
approval,positive,AFINN,2477
approved,positive,AFINN,2477
approves,positive,AFINN,2477
ardent,positive,AFINN,2477
arrest,negative,AFINN,2477
arrested,negative,AFINN,2477
arrests,negative,AFINN,2477
arrogant,negative,AFINN,2477
ashame,negative,AFINN,2477
ashamed,negative,AFINN,2477
ass,negative,AFINN,2477
assassination,negative,AFINN,2477
assassinations,negative,AFINN,2477
asset,positive,AFINN,2477
assets,positive,AFINN,2477
assfucking,negative,AFINN,2477
asshole,negative,AFINN,2477
astonished,positive,AFINN,2477
astound,positive,AFINN,2477
astounded,positive,AFINN,2477
astounding,positive,AFINN,2477
astoundingly,positive,AFINN,2477
astounds,positive,AFINN,2477
attack,negative,AFINN,2477
attacked,negative,AFINN,2477
attacking,negative,AFINN,2477
attacks,negative,AFINN,2477
attract,positive,AFINN,2477
attracted,positive,AFINN,2477
attracting,positive,AFINN,2477
attraction,positive,AFINN,2477
attractions,positive,AFINN,2477
attracts,positive,AFINN,2477
audacious,positive,AFINN,2477
authority,positive,AFINN,2477
avert,negative,AFINN,2477
averted,negative,AFINN,2477
averts,negative,AFINN,2477
avid,positive,AFINN,2477
avoid,negative,AFINN,2477
avoided,negative,AFINN,2477
avoids,negative,AFINN,2477
await,negative,AFINN,2477
awaited,negative,AFINN,2477
awaits,negative,AFINN,2477
award,positive,AFINN,2477
awarded,positive,AFINN,2477
awards,positive,AFINN,2477
awesome,positive,AFINN,2477
awful,negative,AFINN,2477
awkward,negative,AFINN,2477
axe,negative,AFINN,2477
axed,negative,AFINN,2477
backed,positive,AFINN,2477
backing,positive,AFINN,2477
backs,positive,AFINN,2477
bad,negative,AFINN,2477
badass,negative,AFINN,2477
badly,negative,AFINN,2477
bailout,negative,AFINN,2477
bamboozle,negative,AFINN,2477
bamboozled,negative,AFINN,2477
bamboozles,negative,AFINN,2477
ban,negative,AFINN,2477
banish,negative,AFINN,2477
bankrupt,negative,AFINN,2477
bankster,negative,AFINN,2477
banned,negative,AFINN,2477
bargain,positive,AFINN,2477
barrier,negative,AFINN,2477
bastard,negative,AFINN,2477
bastards,negative,AFINN,2477
battle,negative,AFINN,2477
battles,negative,AFINN,2477
beaten,negative,AFINN,2477
beatific,positive,AFINN,2477
beating,negative,AFINN,2477
beauties,positive,AFINN,2477
beautiful,positive,AFINN,2477
beautifully,positive,AFINN,2477
beautify,positive,AFINN,2477
belittle,negative,AFINN,2477
belittled,negative,AFINN,2477
beloved,positive,AFINN,2477
benefit,positive,AFINN,2477
benefits,positive,AFINN,2477
benefitted,positive,AFINN,2477
benefitting,positive,AFINN,2477
bereave,negative,AFINN,2477
bereaved,negative,AFINN,2477
bereaves,negative,AFINN,2477
bereaving,negative,AFINN,2477
best,positive,AFINN,2477
betray,negative,AFINN,2477
betrayal,negative,AFINN,2477
betrayed,negative,AFINN,2477
betraying,negative,AFINN,2477
betrays,negative,AFINN,2477
better,positive,AFINN,2477
bias,negative,AFINN,2477
biased,negative,AFINN,2477
big,positive,AFINN,2477
bitch,negative,AFINN,2477
bitches,negative,AFINN,2477
bitter,negative,AFINN,2477
bitterly,negative,AFINN,2477
bizarre,negative,AFINN,2477
blah,negative,AFINN,2477
blame,negative,AFINN,2477
blamed,negative,AFINN,2477
blames,negative,AFINN,2477
blaming,negative,AFINN,2477
bless,positive,AFINN,2477
blesses,positive,AFINN,2477
blessing,positive,AFINN,2477
blind,negative,AFINN,2477
bliss,positive,AFINN,2477
blissful,positive,AFINN,2477
blithe,positive,AFINN,2477
block,negative,AFINN,2477
blockbuster,positive,AFINN,2477
blocked,negative,AFINN,2477
blocking,negative,AFINN,2477
blocks,negative,AFINN,2477
bloody,negative,AFINN,2477
blurry,negative,AFINN,2477
boastful,negative,AFINN,2477
bold,positive,AFINN,2477
boldly,positive,AFINN,2477
bomb,negative,AFINN,2477
boost,positive,AFINN,2477
boosted,positive,AFINN,2477
boosting,positive,AFINN,2477
boosts,positive,AFINN,2477
bore,negative,AFINN,2477
bored,negative,AFINN,2477
boring,negative,AFINN,2477
bother,negative,AFINN,2477
bothered,negative,AFINN,2477
bothers,negative,AFINN,2477
bothersome,negative,AFINN,2477
boycott,negative,AFINN,2477
boycotted,negative,AFINN,2477
boycotting,negative,AFINN,2477
boycotts,negative,AFINN,2477
brainwashing,negative,AFINN,2477
brave,positive,AFINN,2477
breakthrough,positive,AFINN,2477
breathtaking,positive,AFINN,2477
bribe,negative,AFINN,2477
bright,positive,AFINN,2477
brightest,positive,AFINN,2477
brightness,positive,AFINN,2477
brilliant,positive,AFINN,2477
brisk,positive,AFINN,2477
broke,negative,AFINN,2477
broken,negative,AFINN,2477
brooding,negative,AFINN,2477
bullied,negative,AFINN,2477
bullshit,negative,AFINN,2477
bully,negative,AFINN,2477
bullying,negative,AFINN,2477
bummer,negative,AFINN,2477
buoyant,positive,AFINN,2477
burden,negative,AFINN,2477
burdened,negative,AFINN,2477
burdening,negative,AFINN,2477
burdens,negative,AFINN,2477
calm,positive,AFINN,2477
calmed,positive,AFINN,2477
calming,positive,AFINN,2477
calms,positive,AFINN,2477
can't stand,negative,AFINN,2477
cancel,negative,AFINN,2477
cancelled,negative,AFINN,2477
cancelling,negative,AFINN,2477
cancels,negative,AFINN,2477
cancer,negative,AFINN,2477
capable,positive,AFINN,2477
captivated,positive,AFINN,2477
care,positive,AFINN,2477
carefree,positive,AFINN,2477
careful,positive,AFINN,2477
carefully,positive,AFINN,2477
careless,negative,AFINN,2477
cares,positive,AFINN,2477
cashing in,negative,AFINN,2477
casualty,negative,AFINN,2477
catastrophe,negative,AFINN,2477
catastrophic,negative,AFINN,2477
cautious,negative,AFINN,2477
celebrate,positive,AFINN,2477
celebrated,positive,AFINN,2477
celebrates,positive,AFINN,2477
celebrating,positive,AFINN,2477
censor,negative,AFINN,2477
censored,negative,AFINN,2477
censors,negative,AFINN,2477
certain,positive,AFINN,2477
chagrin,negative,AFINN,2477
chagrined,negative,AFINN,2477
challenge,negative,AFINN,2477
chance,positive,AFINN,2477
chances,positive,AFINN,2477
chaos,negative,AFINN,2477
chaotic,negative,AFINN,2477
charged,negative,AFINN,2477
charges,negative,AFINN,2477
charm,positive,AFINN,2477
charming,positive,AFINN,2477
charmless,negative,AFINN,2477
chastise,negative,AFINN,2477
chastised,negative,AFINN,2477
chastises,negative,AFINN,2477
chastising,negative,AFINN,2477
cheat,negative,AFINN,2477
cheated,negative,AFINN,2477
cheater,negative,AFINN,2477
cheaters,negative,AFINN,2477
cheats,negative,AFINN,2477
cheer,positive,AFINN,2477
cheered,positive,AFINN,2477
cheerful,positive,AFINN,2477
cheering,positive,AFINN,2477
cheerless,negative,AFINN,2477
cheers,positive,AFINN,2477
cheery,positive,AFINN,2477
cherish,positive,AFINN,2477
cherished,positive,AFINN,2477
cherishes,positive,AFINN,2477
cherishing,positive,AFINN,2477
chic,positive,AFINN,2477
childish,negative,AFINN,2477
chilling,negative,AFINN,2477
choke,negative,AFINN,2477
choked,negative,AFINN,2477
chokes,negative,AFINN,2477
choking,negative,AFINN,2477
clarifies,positive,AFINN,2477
clarity,positive,AFINN,2477
clash,negative,AFINN,2477
classy,positive,AFINN,2477
clean,positive,AFINN,2477
cleaner,positive,AFINN,2477
clear,positive,AFINN,2477
cleared,positive,AFINN,2477
clearly,positive,AFINN,2477
clears,positive,AFINN,2477
clever,positive,AFINN,2477
clouded,negative,AFINN,2477
clueless,negative,AFINN,2477
cock,negative,AFINN,2477
cocksucker,negative,AFINN,2477
cocksuckers,negative,AFINN,2477
cocky,negative,AFINN,2477
coerced,negative,AFINN,2477
collapse,negative,AFINN,2477
collapsed,negative,AFINN,2477
collapses,negative,AFINN,2477
collapsing,negative,AFINN,2477
collide,negative,AFINN,2477
collides,negative,AFINN,2477
colliding,negative,AFINN,2477
collision,negative,AFINN,2477
collisions,negative,AFINN,2477
colluding,negative,AFINN,2477
combat,negative,AFINN,2477
combats,negative,AFINN,2477
comedy,positive,AFINN,2477
comfort,positive,AFINN,2477
comfortable,positive,AFINN,2477
comforting,positive,AFINN,2477
comforts,positive,AFINN,2477
commend,positive,AFINN,2477
commended,positive,AFINN,2477
commit,positive,AFINN,2477
commitment,positive,AFINN,2477
commits,positive,AFINN,2477
committed,positive,AFINN,2477
committing,positive,AFINN,2477
compassionate,positive,AFINN,2477
compelled,positive,AFINN,2477
competent,positive,AFINN,2477
competitive,positive,AFINN,2477
complacent,negative,AFINN,2477
complain,negative,AFINN,2477
complained,negative,AFINN,2477
complains,negative,AFINN,2477
comprehensive,positive,AFINN,2477
conciliate,positive,AFINN,2477
conciliated,positive,AFINN,2477
conciliates,positive,AFINN,2477
conciliating,positive,AFINN,2477
condemn,negative,AFINN,2477
condemnation,negative,AFINN,2477
condemned,negative,AFINN,2477
condemns,negative,AFINN,2477
confidence,positive,AFINN,2477
confident,positive,AFINN,2477
conflict,negative,AFINN,2477
conflicting,negative,AFINN,2477
conflictive,negative,AFINN,2477
conflicts,negative,AFINN,2477
confuse,negative,AFINN,2477
confused,negative,AFINN,2477
confusing,negative,AFINN,2477
congrats,positive,AFINN,2477
congratulate,positive,AFINN,2477
congratulation,positive,AFINN,2477
congratulations,positive,AFINN,2477
consent,positive,AFINN,2477
consents,positive,AFINN,2477
consolable,positive,AFINN,2477
conspiracy,negative,AFINN,2477
constrained,negative,AFINN,2477
contagion,negative,AFINN,2477
contagions,negative,AFINN,2477
contagious,negative,AFINN,2477
contempt,negative,AFINN,2477
contemptuous,negative,AFINN,2477
contemptuously,negative,AFINN,2477
contend,negative,AFINN,2477
contender,negative,AFINN,2477
contending,negative,AFINN,2477
contentious,negative,AFINN,2477
contestable,negative,AFINN,2477
controversial,negative,AFINN,2477
controversially,negative,AFINN,2477
convince,positive,AFINN,2477
convinced,positive,AFINN,2477
convinces,positive,AFINN,2477
convivial,positive,AFINN,2477
cool,positive,AFINN,2477
cool stuff,positive,AFINN,2477
cornered,negative,AFINN,2477
corpse,negative,AFINN,2477
costly,negative,AFINN,2477
courage,positive,AFINN,2477
courageous,positive,AFINN,2477
courteous,positive,AFINN,2477
courtesy,positive,AFINN,2477
cover-up,negative,AFINN,2477
coward,negative,AFINN,2477
cowardly,negative,AFINN,2477
coziness,positive,AFINN,2477
cramp,negative,AFINN,2477
crap,negative,AFINN,2477
crash,negative,AFINN,2477
crazier,negative,AFINN,2477
craziest,negative,AFINN,2477
crazy,negative,AFINN,2477
creative,positive,AFINN,2477
crestfallen,negative,AFINN,2477
cried,negative,AFINN,2477
cries,negative,AFINN,2477
crime,negative,AFINN,2477
criminal,negative,AFINN,2477
criminals,negative,AFINN,2477
crisis,negative,AFINN,2477
critic,negative,AFINN,2477
criticism,negative,AFINN,2477
criticize,negative,AFINN,2477
criticized,negative,AFINN,2477
criticizes,negative,AFINN,2477
criticizing,negative,AFINN,2477
critics,negative,AFINN,2477
cruel,negative,AFINN,2477
cruelty,negative,AFINN,2477
crush,negative,AFINN,2477
crushed,negative,AFINN,2477
crushes,negative,AFINN,2477
crushing,negative,AFINN,2477
cry,negative,AFINN,2477
crying,negative,AFINN,2477
cunt,negative,AFINN,2477
curious,positive,AFINN,2477
curse,negative,AFINN,2477
cut,negative,AFINN,2477
cute,positive,AFINN,2477
cuts,negative,AFINN,2477
cutting,negative,AFINN,2477
cynic,negative,AFINN,2477
cynical,negative,AFINN,2477
cynicism,negative,AFINN,2477
damage,negative,AFINN,2477
damages,negative,AFINN,2477
damn,negative,AFINN,2477
damned,negative,AFINN,2477
damnit,negative,AFINN,2477
danger,negative,AFINN,2477
daredevil,positive,AFINN,2477
daring,positive,AFINN,2477
darkest,negative,AFINN,2477
darkness,negative,AFINN,2477
dauntless,positive,AFINN,2477
dead,negative,AFINN,2477
deadlock,negative,AFINN,2477
deafening,negative,AFINN,2477
dear,positive,AFINN,2477
dearly,positive,AFINN,2477
death,negative,AFINN,2477
debonair,positive,AFINN,2477
debt,negative,AFINN,2477
deceit,negative,AFINN,2477
deceitful,negative,AFINN,2477
deceive,negative,AFINN,2477
deceived,negative,AFINN,2477
deceives,negative,AFINN,2477
deceiving,negative,AFINN,2477
deception,negative,AFINN,2477
decisive,positive,AFINN,2477
dedicated,positive,AFINN,2477
defeated,negative,AFINN,2477
defect,negative,AFINN,2477
defects,negative,AFINN,2477
defender,positive,AFINN,2477
defenders,positive,AFINN,2477
defenseless,negative,AFINN,2477
defer,negative,AFINN,2477
deferring,negative,AFINN,2477
defiant,negative,AFINN,2477
deficit,negative,AFINN,2477
degrade,negative,AFINN,2477
degraded,negative,AFINN,2477
degrades,negative,AFINN,2477
dehumanize,negative,AFINN,2477
dehumanized,negative,AFINN,2477
dehumanizes,negative,AFINN,2477
dehumanizing,negative,AFINN,2477
deject,negative,AFINN,2477
dejected,negative,AFINN,2477
dejecting,negative,AFINN,2477
dejects,negative,AFINN,2477
delay,negative,AFINN,2477
delayed,negative,AFINN,2477
delight,positive,AFINN,2477
delighted,positive,AFINN,2477
delighting,positive,AFINN,2477
delights,positive,AFINN,2477
demand,negative,AFINN,2477
demanded,negative,AFINN,2477
demanding,negative,AFINN,2477
demands,negative,AFINN,2477
demonstration,negative,AFINN,2477
demoralized,negative,AFINN,2477
denied,negative,AFINN,2477
denier,negative,AFINN,2477
deniers,negative,AFINN,2477
denies,negative,AFINN,2477
denounce,negative,AFINN,2477
denounces,negative,AFINN,2477
deny,negative,AFINN,2477
denying,negative,AFINN,2477
depressed,negative,AFINN,2477
depressing,negative,AFINN,2477
derail,negative,AFINN,2477
derailed,negative,AFINN,2477
derails,negative,AFINN,2477
deride,negative,AFINN,2477
derided,negative,AFINN,2477
derides,negative,AFINN,2477
deriding,negative,AFINN,2477
derision,negative,AFINN,2477
desirable,positive,AFINN,2477
desire,positive,AFINN,2477
desired,positive,AFINN,2477
desirous,positive,AFINN,2477
despair,negative,AFINN,2477
despairing,negative,AFINN,2477
despairs,negative,AFINN,2477
desperate,negative,AFINN,2477
desperately,negative,AFINN,2477
despondent,negative,AFINN,2477
destroy,negative,AFINN,2477
destroyed,negative,AFINN,2477
destroying,negative,AFINN,2477
destroys,negative,AFINN,2477
destruction,negative,AFINN,2477
destructive,negative,AFINN,2477
detached,negative,AFINN,2477
detain,negative,AFINN,2477
detained,negative,AFINN,2477
detention,negative,AFINN,2477
determined,positive,AFINN,2477
devastate,negative,AFINN,2477
devastated,negative,AFINN,2477
devastating,negative,AFINN,2477
devoted,positive,AFINN,2477
diamond,positive,AFINN,2477
dick,negative,AFINN,2477
dickhead,negative,AFINN,2477
die,negative,AFINN,2477
died,negative,AFINN,2477
difficult,negative,AFINN,2477
diffident,negative,AFINN,2477
dilemma,negative,AFINN,2477
dipshit,negative,AFINN,2477
dire,negative,AFINN,2477
direful,negative,AFINN,2477
dirt,negative,AFINN,2477
dirtier,negative,AFINN,2477
dirtiest,negative,AFINN,2477
dirty,negative,AFINN,2477
disabling,negative,AFINN,2477
disadvantage,negative,AFINN,2477
disadvantaged,negative,AFINN,2477
disappear,negative,AFINN,2477
disappeared,negative,AFINN,2477
disappears,negative,AFINN,2477
disappoint,negative,AFINN,2477
disappointed,negative,AFINN,2477
disappointing,negative,AFINN,2477
disappointment,negative,AFINN,2477
disappointments,negative,AFINN,2477
disappoints,negative,AFINN,2477
disaster,negative,AFINN,2477
disasters,negative,AFINN,2477
disastrous,negative,AFINN,2477
disbelieve,negative,AFINN,2477
discard,negative,AFINN,2477
discarded,negative,AFINN,2477
discarding,negative,AFINN,2477
discards,negative,AFINN,2477
disconsolate,negative,AFINN,2477
disconsolation,negative,AFINN,2477
discontented,negative,AFINN,2477
discord,negative,AFINN,2477
discounted,negative,AFINN,2477
discouraged,negative,AFINN,2477
discredited,negative,AFINN,2477
disdain,negative,AFINN,2477
disgrace,negative,AFINN,2477
disgraced,negative,AFINN,2477
disguise,negative,AFINN,2477
disguised,negative,AFINN,2477
disguises,negative,AFINN,2477
disguising,negative,AFINN,2477
disgust,negative,AFINN,2477
disgusted,negative,AFINN,2477
disgusting,negative,AFINN,2477
disheartened,negative,AFINN,2477
dishonest,negative,AFINN,2477
disillusioned,negative,AFINN,2477
disinclined,negative,AFINN,2477
disjointed,negative,AFINN,2477
dislike,negative,AFINN,2477
dismal,negative,AFINN,2477
dismayed,negative,AFINN,2477
disorder,negative,AFINN,2477
disorganized,negative,AFINN,2477
disoriented,negative,AFINN,2477
disparage,negative,AFINN,2477
disparaged,negative,AFINN,2477
disparages,negative,AFINN,2477
disparaging,negative,AFINN,2477
displeased,negative,AFINN,2477
dispute,negative,AFINN,2477
disputed,negative,AFINN,2477
disputes,negative,AFINN,2477
disputing,negative,AFINN,2477
disqualified,negative,AFINN,2477
disquiet,negative,AFINN,2477
disregard,negative,AFINN,2477
disregarded,negative,AFINN,2477
disregarding,negative,AFINN,2477
disregards,negative,AFINN,2477
disrespect,negative,AFINN,2477
disrespected,negative,AFINN,2477
disruption,negative,AFINN,2477
disruptions,negative,AFINN,2477
disruptive,negative,AFINN,2477
dissatisfied,negative,AFINN,2477
distort,negative,AFINN,2477
distorted,negative,AFINN,2477
distorting,negative,AFINN,2477
distorts,negative,AFINN,2477
distract,negative,AFINN,2477
distracted,negative,AFINN,2477
distraction,negative,AFINN,2477
distracts,negative,AFINN,2477
distress,negative,AFINN,2477
distressed,negative,AFINN,2477
distresses,negative,AFINN,2477
distressing,negative,AFINN,2477
distrust,negative,AFINN,2477
distrustful,negative,AFINN,2477
disturb,negative,AFINN,2477
disturbed,negative,AFINN,2477
disturbing,negative,AFINN,2477
disturbs,negative,AFINN,2477
dithering,negative,AFINN,2477
dizzy,negative,AFINN,2477
dodging,negative,AFINN,2477
dodgy,negative,AFINN,2477
does not work,negative,AFINN,2477
dolorous,negative,AFINN,2477
dont like,negative,AFINN,2477
doom,negative,AFINN,2477
doomed,negative,AFINN,2477
doubt,negative,AFINN,2477
doubted,negative,AFINN,2477
doubtful,negative,AFINN,2477
doubting,negative,AFINN,2477
doubts,negative,AFINN,2477
douche,negative,AFINN,2477
douchebag,negative,AFINN,2477
downcast,negative,AFINN,2477
downhearted,negative,AFINN,2477
downside,negative,AFINN,2477
drag,negative,AFINN,2477
dragged,negative,AFINN,2477
drags,negative,AFINN,2477
drained,negative,AFINN,2477
dread,negative,AFINN,2477
dreaded,negative,AFINN,2477
dreadful,negative,AFINN,2477
dreading,negative,AFINN,2477
dream,positive,AFINN,2477
dreams,positive,AFINN,2477
dreary,negative,AFINN,2477
droopy,negative,AFINN,2477
drop,negative,AFINN,2477
drown,negative,AFINN,2477
drowned,negative,AFINN,2477
drowns,negative,AFINN,2477
drunk,negative,AFINN,2477
dubious,negative,AFINN,2477
dud,negative,AFINN,2477
dull,negative,AFINN,2477
dumb,negative,AFINN,2477
dumbass,negative,AFINN,2477
dump,negative,AFINN,2477
dumped,negative,AFINN,2477
dumps,negative,AFINN,2477
dupe,negative,AFINN,2477
duped,negative,AFINN,2477
dysfunction,negative,AFINN,2477
eager,positive,AFINN,2477
earnest,positive,AFINN,2477
ease,positive,AFINN,2477
easy,positive,AFINN,2477
ecstatic,positive,AFINN,2477
eerie,negative,AFINN,2477
eery,negative,AFINN,2477
effective,positive,AFINN,2477
effectively,positive,AFINN,2477
elated,positive,AFINN,2477
elation,positive,AFINN,2477
elegant,positive,AFINN,2477
elegantly,positive,AFINN,2477
embarrass,negative,AFINN,2477
embarrassed,negative,AFINN,2477
embarrasses,negative,AFINN,2477
embarrassing,negative,AFINN,2477
embarrassment,negative,AFINN,2477
embittered,negative,AFINN,2477
embrace,positive,AFINN,2477
emergency,negative,AFINN,2477
empathetic,positive,AFINN,2477
emptiness,negative,AFINN,2477
empty,negative,AFINN,2477
enchanted,positive,AFINN,2477
encourage,positive,AFINN,2477
encouraged,positive,AFINN,2477
encouragement,positive,AFINN,2477
encourages,positive,AFINN,2477
endorse,positive,AFINN,2477
endorsed,positive,AFINN,2477
endorsement,positive,AFINN,2477
endorses,positive,AFINN,2477
enemies,negative,AFINN,2477
enemy,negative,AFINN,2477
energetic,positive,AFINN,2477
engage,positive,AFINN,2477
engages,positive,AFINN,2477
engrossed,positive,AFINN,2477
enjoy,positive,AFINN,2477
enjoying,positive,AFINN,2477
enjoys,positive,AFINN,2477
enlighten,positive,AFINN,2477
enlightened,positive,AFINN,2477
enlightening,positive,AFINN,2477
enlightens,positive,AFINN,2477
ennui,negative,AFINN,2477
enrage,negative,AFINN,2477
enraged,negative,AFINN,2477
enrages,negative,AFINN,2477
enraging,negative,AFINN,2477
enrapture,positive,AFINN,2477
enslave,negative,AFINN,2477
enslaved,negative,AFINN,2477
enslaves,negative,AFINN,2477
ensure,positive,AFINN,2477
ensuring,positive,AFINN,2477
enterprising,positive,AFINN,2477
entertaining,positive,AFINN,2477
enthral,positive,AFINN,2477
enthusiastic,positive,AFINN,2477
entitled,positive,AFINN,2477
entrusted,positive,AFINN,2477
envies,negative,AFINN,2477
envious,negative,AFINN,2477
envy,negative,AFINN,2477
envying,negative,AFINN,2477
erroneous,negative,AFINN,2477
error,negative,AFINN,2477
errors,negative,AFINN,2477
escape,negative,AFINN,2477
escapes,negative,AFINN,2477
escaping,negative,AFINN,2477
esteemed,positive,AFINN,2477
ethical,positive,AFINN,2477
euphoria,positive,AFINN,2477
euphoric,positive,AFINN,2477
eviction,negative,AFINN,2477
evil,negative,AFINN,2477
exaggerate,negative,AFINN,2477
exaggerated,negative,AFINN,2477
exaggerates,negative,AFINN,2477
exaggerating,negative,AFINN,2477
exasperated,positive,AFINN,2477
excellence,positive,AFINN,2477
excellent,positive,AFINN,2477
excite,positive,AFINN,2477
excited,positive,AFINN,2477
excitement,positive,AFINN,2477
exciting,positive,AFINN,2477
exclude,negative,AFINN,2477
excluded,negative,AFINN,2477
exclusion,negative,AFINN,2477
exclusive,positive,AFINN,2477
excuse,negative,AFINN,2477
exempt,negative,AFINN,2477
exhausted,negative,AFINN,2477
exhilarated,positive,AFINN,2477
exhilarates,positive,AFINN,2477
exhilarating,positive,AFINN,2477
exonerate,positive,AFINN,2477
exonerated,positive,AFINN,2477
exonerates,positive,AFINN,2477
exonerating,positive,AFINN,2477
expand,positive,AFINN,2477
expands,positive,AFINN,2477
expel,negative,AFINN,2477
expelled,negative,AFINN,2477
expelling,negative,AFINN,2477
expels,negative,AFINN,2477
exploit,negative,AFINN,2477
exploited,negative,AFINN,2477
exploiting,negative,AFINN,2477
exploits,negative,AFINN,2477
exploration,positive,AFINN,2477
explorations,positive,AFINN,2477
expose,negative,AFINN,2477
exposed,negative,AFINN,2477
exposes,negative,AFINN,2477
exposing,negative,AFINN,2477
extend,positive,AFINN,2477
extends,positive,AFINN,2477
exuberant,positive,AFINN,2477
